body,fichatecnica,localidad,price,title,url
"
Kia Besta 2.2 al día y a mi nombreVendo o permuto +o - valorBien de cubiertas, algún detalle en chapa, mecánica bien, patente al dia
","

Año
1997


Kilómetros
50.000 km


Marca
Kia


Modelo
Besta


Versión
Furgon


Tipo de combustible
Diésel


Puertas
4





","





El vehículo está en Punta Del Este - Maldonado
",4.700,"
		Kia Besta Furgon
	",https://auto.mercadolibre.com.uy/MLU-471714357-kia-besta-furgon-_JM#position=5&type=item&tracking_id=18d5715b-927b-4148-b3ba-b5141093aa87
"
Al día pronta para transferir sin nada para hacerle pronta para trabajar
","

Año
2000


Kilómetros
111.111 km


Marca
Renault


Modelo
Trafic


Versión
1.9 Ta8j D


Tipo de carrocería
Pick-Up


Motor
1.9


Potencia
61 hp


Transmisión
Manual


Tipo de combustible
Diésel


Puertas
2





","





El vehículo está en Empalme Nicolich - Canelones
",7.800,"
		Renault Trafic 1.9 Ta8j D
	",https://auto.mercadolibre.com.uy/MLU-472806399-renault-trafic-19-ta8j-d-2000-_JM#position=46&type=item&tracking_id=18d5715b-927b-4148-b3ba-b5141093aa87
"
Totalmente al día.De patente paga 6 x $ 1780,Consumo 16 en Ciudad,19 en ruta (kms/L)Se escuchan ofertas, posible financiación(con entrega de 5500), posible permuta.
","

Año
2005


Kilómetros
360.000 km


Marca
Chevrolet


Modelo
Astra


Versión
ASTRA 2.0 L STD


Tipo de combustible
Diésel


Puertas
4





","





El vehículo está en Maldonado
",9.900,"
		Chevrolet Astra Astra 2.0 L Std
	",https://auto.mercadolibre.com.uy/MLU-472454148-chevrolet-astra-astra-20-l-std-_JM#position=34&type=item&tracking_id=18d5715b-927b-4148-b3ba-b5141093aa87
"
El motor hecho a nuevo con los repuestos originales, cubiertas nuevas con auxiliar, patente al día.No permuto.
","

Año
1997


Kilómetros
55.000 km


Marca
SEAT


Modelo
Cordoba


Versión
1.9 Glx D


Tipo de carrocería
Sedán


Motor
1.9


Potencia
90 hp


Transmisión
Manual


Tipo de combustible
Diésel


Puertas
4





","





El vehículo está en San Antonio - Canelones
",3.250,"
		SEAT Cordoba 1.9 Glx D
	",https://auto.mercadolibre.com.uy/MLU-471249475-seat-cordoba-19-glx-d-1997-_JM#position=8&type=item&tracking_id=18d5715b-927b-4148-b3ba-b5141093aa87
"
Nissan sunny básico SIN aire ni direccion. Todos los papeles al dia. Diesel 1.7 buen estado de motor y carroseria en general interior sano detalles de los años pero nada grave anda impecable y muy economicoConsumo: 22km/lPatente: $5.000 anuales
","

Año
1992


Kilómetros
360.000 km


Marca
Nissan


Modelo
Sunny


Versión
.


Tipo de combustible
Diésel


Puertas
4





","





El vehículo está en Salinas - Canelones
",4.200,"
		Nissan Sunny .
	",https://auto.mercadolibre.com.uy/MLU-472814633-nissan-sunny--_JM#position=45&type=item&tracking_id=18d5715b-927b-4148-b3ba-b5141093aa87
"
Citröen Saxo 1.5 diesel año 2001, patente y seguro al dia, titulos en regla. Muy buen estado. No se permuta. No se financia ni se negocia el precio.
","

Año
2001


Kilómetros
347.000 km


Marca
Citroën


Modelo
Saxo


Versión
1.5d X


Tipo de carrocería
Hatchback


Motor
1.5


Potencia
58 hp


Transmisión
Manual


Tipo de combustible
Diésel


Puertas
5





","





El vehículo está en Progreso - Canelones
",6.000,"
		Citroën Saxo 1.5d X
	",https://auto.mercadolibre.com.uy/MLU-472551476-citron-saxo-15d-x-2001-_JM#position=25&type=item&tracking_id=18d5715b-927b-4148-b3ba-b5141093aa87
"
Vendo fiat uno 1.3 nafta carburador 2 bocas weber .2 chapas libreta titulos y deve 75mil pesos
","

Año
1996


Kilómetros
800.000 km


Marca
Fiat


Modelo
Uno


Versión
1.3


Tipo de carrocería
Pick-Up


Motor
1.3


Transmisión
Manual


Tipo de combustible
Diésel


Puertas
2





","





El vehículo está en Sayago - Montevideo
",80.000.000,"
		Fiat Uno 1.3
	",https://auto.mercadolibre.com.uy/MLU-472254994-fiat-uno-13-1996-_JM#position=2&type=item&tracking_id=18d5715b-927b-4148-b3ba-b5141093aa87
"
VW Suran en exclente Estado (Recién ajustada)Diesel. Excelente consumo!Año 2012 . 1900 cc tdi, Motor hecho a nuevo 0km 6800 u$sNO PERMUTAS
","

Año
2012


Kilómetros
600.000 km


Marca
Volkswagen


Modelo
Suran


Versión
Suran 1.9 TDI


Único dueño
Sí


Tipo de carrocería
SUV


Motor
1.9 Turbo Diesel Inyeccion


Transmisión
Manual


Color
Negro


Tipo de combustible
Diésel


Puertas
5





","





El vehículo está en Atahualpa - Montevideo
",12.000,"
		Volkswagen Suran (motor A Nuevo!!) Usd6800
	",https://auto.mercadolibre.com.uy/MLU-471694638-volkswagen-suran-motor-a-nuevo-usd6800-_JM#position=6&type=item&tracking_id=18d5715b-927b-4148-b3ba-b5141093aa87
"
Vehículo listo para transferir . 3.500 dólares
","

Año
1952


Kilómetros
11.111 km


Marca
Ford


Modelo
F-100


Versión
1952


Tipo de combustible
Diésel


Puertas
2





","





El vehículo está en La Paloma - Rocha
",4.800,"
		Ford F-100 1952
	",https://auto.mercadolibre.com.uy/MLU-472041096-ford-f-100-1952-_JM#position=22&type=item&tracking_id=18d5715b-927b-4148-b3ba-b5141093aa87
"
Mothorhome cuenta con placard, cocinilla, baño, cama de dos plazas, tanque de agua etc.
","

Año
1995


Kilómetros
1 km


Marca
Nissan


Modelo
Trade


Versión
Motorhome


Tipo de combustible
Diésel


Puertas
4





","





El vehículo está en La Floresta - Canelones
",15.000,"
		Motorhome Nissan.
	",https://auto.mercadolibre.com.uy/MLU-471500865-motorhome-nissan-_JM#position=13&type=item&tracking_id=18d5715b-927b-4148-b3ba-b5141093aa87
