body,title
" 0 % PULSO SOCIAL0 Una de las medidas más importantes para prevenir el contagio de coronavirus es mantener una sana distancia con otras personas. Esto ha hecho que los abrazos y saludos de mano se suspendan pero, ¿podrías vivir sin ellos? 
Varios expertos se han preguntado lo mismo y tristemente, algunos han decidido eliminar el contacto físico por completo de sus vidas. En De10.mx te contamos todo sobre esta radical decisión.
¿Cuándo volveremos a la normalidad tras el coronavirus?
El diario The New York Times entrevistó a 511 epidemiólogos para saber cuál es el tiempo que estiman antes de regresar a ciertas actividades cotidianas luego de la epidemia.
Para sorpresa de muchos, el 6% de los expertos señaló que nunca más abrazarán a nadie ni darán la mano. El 42% también sostuvo que sin una vacuna o tratamiento efectivo contra el Covid-19 no tendrán este tipo de contacto en al menos un año. 
Harvard: El distanciamiento social debería extenderse hasta el 2022
El 52% dejará pasar un año para dejar de usar cubrebocas y el 64% tampoco acudirá antes de este tiempo a eventos deportivos o conciertos.
Hug GIF from Hugday GIFs
La mayoría de los entrevistados dejará pasar entre un año y tres meses antes de hacer actividades como: ir a fiestas o a la oficina, enviar a los niños a la escuela, viajar en transporte público o aviones, acudir a restaurantes y gimnasios o visitar personas mayores.
Otro sector de los expertos fueron más flexibles y señalaron que están dispuestos a retomar algunas actividades de la vida normal en este verano. Para ellos, es importante la socialización, la salud mental y la armonía del hogar que conllevan estas salidas. 
El 60% dijo que comenzaría a acudir al médico por cuestiones no urgentes en los próximos seis meses y más de la mitad señaló que iría de vacaciones a sitios a los que pudiera llegar en auto. El 41% dijo que iría a las estéticas a cortarse el pelo, pero el 39% sostuvo que dejaría pasar un poco más de tiempo.
Si en algo coincidieron la mayoría de los entrevistados, fue que las actividades al aire libre son más seguras que aquellas realizadas a puerta cerrada.
VIDEO:

",
"





En la barra de programación de las diferentes cadenas de televisión existen programas con mala suerte alrededor de su elenco, casos como ‘La Voz México’ o ‘Enamorándonos’ pueden considerarse como ejemplos de la maldición que los persigue.
El caso de la emisión exitosa de Azteca puede catalogarse como la mala relación de los protagonistas con presuntos criminales.
Durante la primera temporada de ‘Enamorándonos’ cinco de sus integrantes fueron asesinados, así como las modelos participantes fueron ligadas a jefes del Cártel de la Unión Tepito y el llamado ‘Juez del Pueblo’ murió de forma trágica.
Los hombres del elenco que fueron ultimados son: Natali, quien fue encontrada sin vida en su departamento del municipio Venustiano Carranza. Así como los casos de  Brian, Jonathan y uno de sus acompañantes.
El caso de Gaby, quien presuntamente fue pareja sentimental  de Oscar Andrés “N”, alias “El Lunares”, excolaborador del grupo delincuencial La Unión Tepito, apresado el 30 de enero de este año.
Christian Raúl, alias “El abogado de Pueblo”, sobrevivió a una agresión a balazos en la alcaldía Azcapotzalco, ocurrió el 25 de abril, pero hasta el 9 de mayo su representante reportó el fallecimiento del hombre, aunque no brindó más detalles.
Carmen Muñoz, antes y después de Enamorándonos
",‘Enamorándonos’ y su maldición
"





El gobierno del Estado de México a través de la Secretaría del Medio Ambiente informó que se mantiene el cierre de operaciones de los Centros de Verificación de Emisiones Contaminantes de Vehículos Automotores Autorizados (CVECA)
A través de un comunicado, la dependencia estatal puntualiza “hasta que las autoridades sanitarias correspondientes determinen la apertura respectiva de las actividades, garantizando en todo momento las medidas de prevención e higiene necesarias para contener la propagación del coronavirus Covid-19”.
Asimismo, por esta vez el horario de servicio de los Centros de Verificación, será de 07:00 a 20:00 horas de lunes a sábado, por lo que se deberá contar con cita programada y los Verificentros no podrán prestar servicio sin ella.
Citas verificación Edomex 2020
Las citas podrán agendarse a través del sitio web http://smahologramas.dsinet.com.mx/RegistroCitas.
Una vez reiniciadas las operaciones en los Verificentros, la verificación vehicular deberá realizarse antes del 31 de diciembre de 2020, de acuerdo con la terminación de la placa conforme a lo establecido en el calendario.
Nuevo calendario y horario verificación vehicular Edomex 
Cabe señalar, que los verificentros del Estado de México no reinician actividades en junio como se había establecido en el portal de la dependencia estatal.
“Las actividades de los Centros de Verificación de Emisiones Contaminantes de Vehículos Automotores Autorizados (CVECA) en el Estado de México y Talleres Autorizados para el Programa Integral de Reducción de Emisiones Contaminantes que se encuentran suspendidas, se reanudarán hasta que las autoridades sanitarias correspondientes determinen la reactivación de las actividades gubernamentales, garantizando, en todo momento, las medidas de prevención e higiene correspondiente”, indica el periódico del estado.
Cuando reinicien actividades, el horario de servicio de los CVECA será por única ocasión de 07:00 a 20:00 horas de lunes a sábado de manera obligatoria o el que determine la dirección General de Prevención y Control de la Contaminación Atmosférica (DGPCCA).
Para realizar la verificación vehicular se deberá contar con cita programada, de lo contrario el CVECA no podrá prestar el servicio al usuario.
Para agendar la cita deberá programarla en la siguiente dirección electrónica: http://smahologramas.dsinet.com.mx/RegistroCitas
La verificación vehicular correspondiente al primer semestre del 2020 deberá realizarse, por única ocasión, antes del 31 de diciembre del 2020, conforme al último dígito de las placas de circulación, de acuerdo a lo siguientes términos:



Terminaciòn de placa 
Plazo a partir del reinicio de actvidades de los CEVCA 


7 u 8 
30 dias naturales 



3 0 4

60 dìas naturales 


1 0 2
90 días naturales


9 o 0 
120 dias naturales



Los vehículos con terminación de placa 5 o 6, que no obtuvieron su constancia de verificación vehicular en enero y febrero de 2020, se harán acreedores a la sanción correspondientes.
Te Puede Interesar: 
Verificación vehicular Edomex: Autos verificarán una vez durante 2020
Verificentros del Estado de México: No abrirán a principios de junio
¿Cuándo termina el Hoy No Circula Covid Edomex?
Nuevo calendario Verificación Vehicular Edomex: Cómo es y la multa
Si quieres saber más sobre le verificación vehicular Edomex 2020 revisa la Gaceta del Gobierno a partir de la página 28: 
GACETA DEL GOBIERNO EDOMEX ... by JuanMiranda on Scribd

",Citas para verificar Edomex 2020: Entérate 
"
Agentes de la Policía de Investigación (PDI) y de la policía capitalina detuvieron en calles de la alcaldía Venustiano Carranza a un expolicía de la entonces procuraduría capitalina, relacionado con Óscar Flores, “El Lunares”, exlíder la Unión Tepito.
 
Al ejecutarse una orden de aprehensión por los delitos de privación de la libertad, en su modalidad de secuestro exprés agravado, el exagente Juan Tomás, fue detenido en la colonia Artes Gráficas de la alcaldía Venustiano Carranza.
 
De acuerdo con la investigación, Rangel Balderas, colaboraba con Óscar Andrés Flores, “El Lunares”, de La Unión de Tepito.

Vinculan a proceso a “El Lunares”, líder de la Unión Tepito, por delincuencia organizada

Hace unas semanas, un juez federal vinculó a proceso a  “El Lunares”, por delincuencia organizada.
La decisión fue emitida la madrugada del martes 26 de mayo por el juez de control del Centro de Justicia Penal Federal del Reclusorio Norte quien concedió 4 meses para la investigación complementaria.
La audiencia duró aproximadamente ocho horas y en ella, la defensa de “El Lunares” ofreció datos de prueba con los que trató de evitar, sin éxito, la vinculación a proceso.
La diligencia derivó del cumplimiento de una orden de aprehensión emitida contra “El Lunares”, el pasado 21 de mayo por delincuencia organizada, acusación formulada por la Fiscalía General de la República (FGR).
Leer también: Cae Brandon Alexis, hermano de ""El Lunares"" de la Unión Tepito, en la Guerrero
Desde ese día, la defensa solicitó tiempo para reunir pruebas de descargo.
Este es el único delito federal por el que “El Lunares” está vinculado a proceso pues desde febrero pasado, cuando fue detenido, enfrenta una acusación de fuero local por homicidio calificado y por la que permanece sujeto a prisión preventiva de oficio en el Reclusorio Oriente.

lr/fml
 
","Cae exagente de la PGJ presuntamente relacionado con ""El Lunares"", de la Unión Tepito"
"
Esta mañana trascendió la muerte de un hombre en la avenida principal del Centro Histórico potosino, pues familiares lo encontraron colgado al interior de su academia de belleza.

Elementos de la Fuerza Metropolitana Estatal fueron los primeros respondientes y acordonaron avenida Carranza, entre Reforma y Simón Bolívar.

Personal de Servicios Periciales realizó el levantamiento del cuerpo para trasladarlo al Semele.

Información extraoficial señaló que esta muerte podría estar relacionada con la crisis económica derivada de la pandemia, debido a que decenas de negocios cerraron sus puertas de manera indefinida ante la contingencia sanitaria.

etp
",Encuentran a hombre colgado en academia de belleza del Centro Histórico de SLP
"
Una disputa en Twitter estalló este jueves entre Donald Trump y las autoridades del estado de Washington después de que el presidente estadounidense acusara a éstas de abandonar una zona de Seattle a ""horribles anarquistas"" y ""terroristas domésticos"".
La razón del enfrentamiento es una ""zona autónoma"", sin presencia policial, establecida en Seattle esta semana por líderes de las protestas raciales tras la muerte del afroestadounidense George Floyd a manos de un policía blanco.
""Recuperen su ciudad AHORA. Si no lo hacen, lo haré yo"", advirtió el mandatario en un tuit el miércoles de noche, en el que llamó a los manifestantes ""terroristas domésticos"".
También lee: Dan libertad bajo fianza a exoficial implicado en muerte de George Floyd 
""Este no es un juego. Estos horribles anarquistas tienen que ser detenidos. INMEDIATAMENTE. MUÉVANSE RÁPIDO"", escribió poco después.
Trump, que atacó al gobernador de Washington, Jay Inslee y la alcaldesa de Seattle, Jenny Durkan, no se refirió explícitamente a la llamada ""Área Autónoma del Capitolio"" proclamada esta semana por los manifestantes, pero sus tuits siguieron de cerca un informe sobre el tema en la cadena conservadora Fox News, que sigue fervientemente.
También lee: ""Basta"" al sufrimiento de los afroamericanos, dice hermano de George Floyd en el Congreso
El informe describió ""la toma total de un área de siete manzanas en un barrio de Seattle"", diciendo que los manifestantes armados estaban patrullando la zona.
Según medios locales, los manifestantes se han instalado efectivamente en las calles que rodean una comisaría de policía desalojada, pero no se informó hasta ahora de ningún incidente de violencia en la zona, que ha servido como una especie de experimento comunal.
También lee: Comienza funeral de George Floyd, cuya muerte desató protestas en EU
""Un hombre que es totalmente incapaz de gobernar debe mantenerse al margen de los asuntos del estado de Washington. Deje de tuitear"", escribió Inslee.
""Háganos sentir más seguro, regrese a su búnker"", dijo por su parte Durkan, en relación al lugar en donde habrían llevado a Trump por seguridad durante una manifestación en la capital.
Otras masivas protestas contra la brutalidad policial tras la muerte de Floyd, un hombre negro asfixiado por un policía blanco, se han realizado en el país.
lsm/nv
 
","¿Seattle tomado por ""anarquistas""? Trump en guerra con las autoridades locales"
"
La Organización Mundial de la Salud (OMS) sostuvo hoy que se desconoce si el coronavirus SARS-CoV-2 actúa de forma diferente cuando las temperaturas cambian según las estaciones del año y que, por tanto, no hay que compararlo con la forma en que actúa el virus de la gripe.


""Para ser claros, hasta el momento no tenemos datos que indiquen que el virus puede actuar de forma más agresiva o transmitirse mejor o no"" en el invierno, dijo el director de Emergencias Sanitarias de la OMS, Mike Ryan, ante una pregunta del riesgo adicional que supondría para Sudamérica su entrada al invierno.


""No sabemos cómo el virus actuará en el futuro"", insistió frente a la esperanza en Europa y Estados Unidos de que las temperaturas cálidas del verano que está por comenzar puedan suponer un declive natural del contagio.

La preocupación contraria ha surgido en América Latina, donde el invierno aumenta el temor de una mayor virulencia y capacidad de propagación del coronavirus.

En ambos casos se compara a este nuevo patógeno con la gripe estacional, enfermedad asociada al invierno y con la que tiene varios síntomas en común.
 

TAMBIÉN LEE. ¿Qué tipo de cubrebocas te protegen más contra el coronavirus?
 

El coronavirus, causante de la enfermedad covid-19, ha infectado a 7,14 millones de personas y causado la muerte de 408.000, según los datos más actualizados de la OMS.

""Sabemos que estamos entrando en el ciclo de la temporada de gripe en el hemisferio sur, pero no sabemos cómo el coronavirus se comportará"", insistió Ryan.

Recordó que no en todo el hemisferio sur la gripe se comporta de la misma manera, ya que en países como Australia, Chile, Argentina y Sudáfrica se observa una temporada gripal más claramente asociada al frío.

En cambio -agregó- en los países situados en la región ecuatorial, ""el comportamiento de la gripe no es tan previsible y tiende a persistir todo el año"".

Ryan insistió en que no hay que confiar en que el calor alejará al virus de Europa: ""Mucha gente diría que en verano el virus es menos transmisible porque la gente está más en el exterior, pero otros dirían que la gente tiende a buscar lugares cerrados con aire acondicionado por el calor"".


La OMS ha señalado que el coronavirus tiende a circular mejor en los espacios cerrados, donde ha recomendado que todos deben utilizar mascarillas (de preferencia de tela) si no pueden mantener la distancia recomendada de dos metros con los demás.


Por otra parte, el médico y experto en enfermedades infecciosas restó credibilidad a un estudio de la Escuela de Medicina de Harvard que sostiene que el coronavirus habría estado circulando en Wuhan (donde se cree que se originó) desde el pasado agosto.

El estudio tiene como base el análisis de imágenes de satélite que muestran una mayor afluencia de automóviles alrededor del hospital principal de esa ciudad china durante ese mes.

""Es importante no hacer demasiadas especulaciones"" al respecto porque no hay evidencias en si que demuestren la conclusión del estudio, señaló Ryan.

 
",
"





Ante la cuarentena por coronavirus Covid-19, el Instituto Nacional Electoral (INE) ha emitido dos medidas para quienes no cuentan con su credencial de elector o por si ésta no se encuentra actualizada.
Si tu credencial para votar perdió vigencia el 1 de enero de 2020, podrás seguir utilizándola, pues se extendió su vigencia de dichas credenciales del INE hasta el próximo 1 de septiembre de 2020. 
Esto debido al cierre de los Módulos de Atención Ciudadana del INE, ante la cuarentena del Covid-19.
Esta prórroga de la vigencia de la credencial de elector permite que la puedas seguir utilizando como identificación oficial ante instituciones públicas y privadas para realizar trámites y servicios. 

Constancia Digital del INE
Además, el INE comenzó con la emisión de constancias digitales, las cuales se pueden tramitar si perdiste tu credencial de elector o realizaste alguna actualización como cambio de domicilio y no pudiste recoger la mica debido al cierre de tu Módulo de Atención Ciudadana.
La Constancia Digital se puede tramitar durante el periodo comprendido entre el 25 de mayo y el 1 de septiembre de 2020.
Se expedirá a favor de todos los ciudadanos que cuenten con un registro vigente en el Padrón Electoral; es decir, este documento que tendrá carácter temporal, no está dirigido a quienes se les venció su credencial en 2018 o previo a este año.
Vigencia de la Constancia Digital del INE
La Constancia Digital contará con una vigencia de tres meses a partir de su emisión y la fecha de su expiración se incorporará en el propio texto de la constancia. Dicho formato puede descargarse en este enlace. 
Requisitos Constancia Digital del INE
El formato de solicitud de la constancia digital del INE deberá contener al menos, lo siguiente:

Nombre de la o el ciudadano titular;
documento o medio de identificación que acrediten la identidad de la o el titular;
domicilio y/o correo electrónico para recibir notificaciones;
datos personales que forman parte del Padrón Electoral a los que solicita acceder;
fecha;
firma y, en su caso, los documentos que acrediten la personalidad e identidad del representante.

Una vez llenado y firmado el formato, se deberá escanear o tomar una fotografía y enviarla al correo electrónico constancia.digital@ine.mx
El INE recibirá la solicitud, verificará que esté completa y que corresponda a un registro vigente en el Padrón Electoral y la Lista Nominal.
En caso de que todo esté correcto, se emitirá la Constancia Digital y la enviará al correo electrónico registrado en la solicitud.
 
Tiempo de entrega de la Constancia Digital del INE
Este proceso de verificación podrá tardar entre 3 y 5 días, dependiendo del volumen de solicitudes que se presenten.
Los ciudadanos podrán imprimir su Constancia Digital y presentarla ante las instituciones públicas o privadas como medio de identificación.
Elementos de la Constancia Digital del INE
La Constancia Digital es un documento en formato PDF, con los siguientes datos:

nombre(s), apellido paterno, apellido materno;
clave de elector;
número de emisión;
dato OCR (Reconocimiento Óptico de Caracteres);
Código de Identificación de Credencial (CIC);
año de registro;
fecha de emisión, mes y año de fin de vigencia de la Constancia Digital.

 
Para más información da clic en este enlace.
",Constancia Digital INE: ¿cómo tramitarla y para qué sirve?
"

Consideradas por activistas como símbolos del racismo, las estatuas de Cristóbal Colón y de líderes del ejército confederado han sido objeto de la ira de la ola de protestas en Estados Unidos.

Manifestantes contra el racismo a lo largo del país destrozaron estatuas del navegante europeo en las ciudades de Massachusetts, Minnesota, Florida y Virginia en los últimos días.

Una estatua de Colón de tres metros fue derribada en Saint Paul, ciudad adyacente a Minneapolis, donde murió George Floyd cuando era arrestado por la policía, hecho que desató la actual ola de protestas.
 También lee: Rescatan estatua de comerciante de esclavos que fue lanzada a un río por manifestantes antirracistas

También otro monumento al explorador en Boston, Massachusetts, que se alza en un pedestal en el corazón de la ciudad, fue decapitado.

EPA
 
La estatua de Colón en una plaza central de Boston fue decapitada

Por otra parte, una estatua del presidente de los estados confederados Jefferson Davis (1861-1865), durante la Guerra Civil estadounidense, fue derribada en Richmond, Virginia, el miércoles por la noche.
 También lee: Manifestantes tiran estatua de comerciante de esclavos en Reino Unido
 Y otros monumentos de confederados en la ciudad de Richmond también fueron atacados con pintura.

AFP
 
La estatua del presidente confederado Jefferson Davis fue derribada en Richmond, Virginia.

Las protestas contra el racismo resurgieron en Estados Unidos a raíz de la muerte bajo custodia policial de Floyd ocurrida el pasado 25 de mayo en Minneapolis.
 El caso ha provocado protestas a lo largo de Estados Unidos y en otros países contra el uso excesivo de la fuerza policial y la desigualdad racial.

Y símbolos de la Confederación, un grupo de estados del sur que lucharon para mantener a los negros como esclavos en la Guerra Civil estadounidense de 1861-1865, se encuentran entre los objetivos.

Contra los simbolismos

Cristóbal Colón es recordado tanto en las calles como en los libros de texto escolares como el líder de la expedición española que en 1492 dio con las Américas, entonces el ""Nuevo Mundo"".
 Pero activistas, principalmente los nativos americanos, se han opuesto durante mucho tiempo a honrar su memoria pues consideran que sus expediciones llevaron a la conquista y el genocidio de sus antepasados.

Reuters
 
Una estatua de Cristóbal Colón en Miami también fue objetivo de los manifestantes.

Por otra parte, gobiernos locales y organizaciones sociales han hecho campañas para la eliminación de los símbolos confederados, los cuales asocian con el racismo.

La semana pasada, el gobernador de Virginia, Ralph Northam, anunció que una estatua del general confederado Robert E. Lee sería retirada de Richmond.
 Sin embargo, un juez emitió una orden temporal que detiene la remoción.

Reuters
 
Manifestantes escribieron mensajes en un monumento a Robert E. Lee en Virginia.

Los directivos del serial del automovilismo Nascar anunciaron el miércoles la prohibición del despliegue de las banderas confederadas, que se ven con frecuencia en las carreras.

Mientras tanto, el presidente Donald Trump ha rechazado los llamados para cambiar el nombre de las bases militares nombradas en honor a los generales confederados, pues los considera parte de la herencia de Estados Unidos.

""Los Estados Unidos de América entrenaron y desplegaron a nuestros HÉROES en estos terrenos sagrados, y ganaron dos guerras mundiales. Por lo tanto, mi administración ni siquiera considerará el cambio de nombre de estas instalaciones militares magníficas y legendarias"", dijo en Twitter.

 

It has been suggested that we should rename as many as 10 of our Legendary Military Bases, such as Fort Bragg in North Carolina, Fort Hood in Texas, Fort Benning in Georgia, etc. These Monumental and very Powerful Bases have become part of a Great American Heritage, and a...
 — Donald J. Trump (@realDonaldTrump) June 10, 2020
 

 

Una reacción similar contra las estatuas de comerciantes de esclavos se vio en Reino Unido desde la muerte de Floyd.

Los manifestantes derribaron una estatua del comerciante de esclavos Edward Colston y la arrojaron al río durante una protesta en la ciudad de Bristol el domingo.

Quién fue Edward Colston, el esclavista británico cuya estatua fue derribada durante las protestas contra el racismo en Reino Unido

A principios de esta semana, una estatua del famoso propietario de esclavos Robert Milligan fue retirada del exterior del Museo de los Docklands, en Londres.

Y la famosa estatua del primer ministro Winston Churchill, ubicada frente al Parlamento en el centro de Londres, también fue atacada con pintura.

lsm
",Las estatuas de Cristóbal Colón destruidas en las manifestaciones antirracistas
"
Miguel Herrera y Luis Fernando Tena dejaron por un lado la rivalidad que representan el América y el Guadalajara para reventar a Juan Carlos Osorio, exentrenador de la Selección Mexicana.
Durante una charla –en la cual también estuvo José Manuel de la Torre– en el Centro de Innovación Tecnológica (Citec), el Piojo y el Flaco unieron fuerzas contra el colombiano, quien hace un par de semanas criticó la actitud de los mexicanos previo a los octavos de final de la Copa del Mundo de Rusia 2018. 
Tena narró la estrategia que usó en los Juegos Olímpicos de Londres 2012 para ganar la medalla de oro, justo frente a la verdeamarela (2-1), en el mítico Wembley Stadium
“Por eso nos da coraje que digan que México no le juegue bien a Brasil o que no haya respuesta de los mexicanos contra Brasil”, brincó el Piojo. “Lo digo en el caso del profe Osorio, quien se equivocó rotundamente. La misma Selección que tuvo el Flaco en Juegos Olímpicos, es la base que tuvo el Chepo y tuve yo en 2014 y también la tuvo él [Osorio]”.
Herrera añadió que sólo cambiaron unos cuantos jugadores en un lapso de seis años y subrayó que Tena los venció en una final y que él, durante el Mundial de 2014, les sacó un empate a ceros goles en la casa de la Scratch Duoro.
 

 

-
“No pongas pretextos que nosotros, los mexicanos, no ponemos. Por eso molesta”, cerró el estratega azulcrema. 
“Respeto al señor Osorio, creo que es alguien trabajador, serio y profesional”, añadió Tena, hoy entrenador de las Chivas. “Molesto que en sus declaraciones dijera que al mexicano le falta corazón y mentalidad. Es totalmente mentira, porque mexicano, realmente, es muy capaz en todos los ámbitos, ha crecido muchísimo y juega contra cualquiera en donde sea”.
Herrera añadió: “Corazón nos sobra, Flaco. Podemos tener distracciones y equivocarnos, pero le jugamos de tú a tú a cualquiera”.
Hace un par de semanas, Osorio comentó: “Cuando enfrentamos a Brasil, reuní a todos mis jugadores, les pregunté si estábamos preparados para jugar contra Brasil y la respuesta fue silencio. Yo respondí: Éstoy preparado porque llevo 30 años trabajando para jugar contra los mejores”.
El Piojo respondió: “Si no encontraste respuesta en el vestidor, ¡la impones tú! Esa es la capacidad de un técnico, eres el líder y debes motivarlos”.
“La único que dudaba era él [Osorio], por eso los jugadores no contestaron.  De origen, ya iba mal esa pregunta”, cerró Tena.
LEER MÁS: Balean a empresarios que denunciaron a Ana Guevara
","""Piojo"" Herrera y ""Flaco"" Tena se unen para reventar a Juan Carlos Osorio"
